STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,CLIM_POL,Climate policies,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2006,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2007,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2008,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2009,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2010,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2011,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2012,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2013,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2014,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2015,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2016,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2017,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2018,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2019,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,AUT,Austria,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2020,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1990,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1991,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1992,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1993,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1994,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1995,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1996,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1997,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1998,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1999,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2000,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2001,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2002,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2003,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2004,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2005,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2006,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2007,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2008,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,BEL,Belgium,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2009,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1990,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1991,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1992,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1993,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1994,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1995,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1996,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1997,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1998,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1999,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2000,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2001,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2002,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2003,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2004,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2005,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2006,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2007,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2008,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2009,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2010,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2011,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2012,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2013,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2014,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2015,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2016,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2017,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2018,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2019,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CAN,Canada,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,2020,,0,,0,Units,0_TO_6,0-6 scale,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),OECD Environmental Policy Stringency Index,I,CHL,Chile,A,Annual,POL_STRINGENCY,Policy stringency,TRADESCH_RENEW,Renewable energy trading scheme,1990,,0,,0,Units,0_TO_6,0-6 scale,2,Two
