iso3,year,measure,tech,n_patents
HRV,2013,applications,climate_mitigation,4.5
HRV,2014,applications,climate_mitigation,0
HRV,2015,applications,climate_mitigation,0.16670001
HRV,2016,applications,climate_mitigation,3.5
HRV,2017,applications,climate_mitigation,1
HRV,2018,applications,climate_mitigation,4
HRV,2019,applications,climate_mitigation,1
HRV,2020,applications,climate_mitigation,1
HRV,2021,applications,climate_mitigation,9
HRV,2022,applications,climate_mitigation,6
HRV,2023,applications,climate_mitigation,11.5
HUN,2010,applications,climate_mitigation,13
HUN,2011,applications,climate_mitigation,12.5
HUN,2012,applications,climate_mitigation,16.5
HUN,2013,applications,climate_mitigation,15.5
HUN,2014,applications,climate_mitigation,11.6667
HUN,2015,applications,climate_mitigation,11
HUN,2016,applications,climate_mitigation,13.5
HUN,2017,applications,climate_mitigation,12.5
HUN,2018,applications,climate_mitigation,14
HUN,2019,applications,climate_mitigation,9
HUN,2020,applications,climate_mitigation,13
HUN,2021,applications,climate_mitigation,6.6666999
HUN,2022,applications,climate_mitigation,5
HUN,2023,applications,climate_mitigation,5
IRL,2010,applications,climate_mitigation,41
IRL,2011,applications,climate_mitigation,64.833298
IRL,2012,applications,climate_mitigation,45
IRL,2013,applications,climate_mitigation,46
IRL,2014,applications,climate_mitigation,57.333302
IRL,2015,applications,climate_mitigation,31.3333
IRL,2016,applications,climate_mitigation,81
IRL,2017,applications,climate_mitigation,42.833302
IRL,2018,applications,climate_mitigation,38.5
IRL,2019,applications,climate_mitigation,65
IRL,2020,applications,climate_mitigation,49.833302
IRL,2021,applications,climate_mitigation,58.5667
IRL,2022,applications,climate_mitigation,40.400002
IRL,2023,applications,climate_mitigation,13
ITA,2010,applications,climate_mitigation,342.41669
ITA,2011,applications,climate_mitigation,312.83331
ITA,2012,applications,climate_mitigation,350.83331
ITA,2013,applications,climate_mitigation,346.33331
ITA,2014,applications,climate_mitigation,313.66669
ITA,2015,applications,climate_mitigation,284.08331
ITA,2016,applications,climate_mitigation,346.75
ITA,2017,applications,climate_mitigation,302
ITA,2018,applications,climate_mitigation,316.66669
ITA,2019,applications,climate_mitigation,358.5
ITA,2020,applications,climate_mitigation,357
ITA,2021,applications,climate_mitigation,448.33331
ITA,2022,applications,climate_mitigation,379.20001
ITA,2023,applications,climate_mitigation,164.5
LTU,2010,applications,climate_mitigation,1
LTU,2011,applications,climate_mitigation,1.5
LTU,2012,applications,climate_mitigation,2
LTU,2013,applications,climate_mitigation,0
LTU,2014,applications,climate_mitigation,4
LTU,2015,applications,climate_mitigation,1.5
LTU,2016,applications,climate_mitigation,1.5
LTU,2017,applications,climate_mitigation,2.5
LTU,2018,applications,climate_mitigation,1
LTU,2019,applications,climate_mitigation,2.5
LTU,2020,applications,climate_mitigation,5.5
LTU,2021,applications,climate_mitigation,0
LTU,2022,applications,climate_mitigation,1.5
LTU,2023,applications,climate_mitigation,3
LUX,2010,applications,climate_mitigation,54.166698
LUX,2011,applications,climate_mitigation,50.333302
LUX,2012,applications,climate_mitigation,49.5
LUX,2013,applications,climate_mitigation,31
LUX,2014,applications,climate_mitigation,24
LUX,2015,applications,climate_mitigation,30.3333
LUX,2016,applications,climate_mitigation,37.5
LUX,2017,applications,climate_mitigation,29.3333
LUX,2018,applications,climate_mitigation,18.8333
LUX,2019,applications,climate_mitigation,42.833302
LUX,2020,applications,climate_mitigation,36
LUX,2021,applications,climate_mitigation,43
LUX,2022,applications,climate_mitigation,59
LUX,2023,applications,climate_mitigation,28.5
LVA,2010,applications,climate_mitigation,4
LVA,2011,applications,climate_mitigation,0
LVA,2012,applications,climate_mitigation,1.5
LVA,2013,applications,climate_mitigation,13
LVA,2014,applications,climate_mitigation,2.5
LVA,2015,applications,climate_mitigation,3
LVA,2016,applications,climate_mitigation,1
LVA,2017,applications,climate_mitigation,1
LVA,2018,applications,climate_mitigation,0.5
LVA,2019,applications,climate_mitigation,3
LVA,2020,applications,climate_mitigation,6
LVA,2021,applications,climate_mitigation,2
LVA,2022,applications,climate_mitigation,6.5
LVA,2023,applications,climate_mitigation,3
MLT,2010,applications,climate_mitigation,2
MLT,2011,applications,climate_mitigation,5
MLT,2012,applications,climate_mitigation,1
MLT,2013,applications,climate_mitigation,4
MLT,2014,applications,climate_mitigation,5
MLT,2015,applications,climate_mitigation,7
MLT,2016,applications,climate_mitigation,5
MLT,2017,applications,climate_mitigation,11
MLT,2018,applications,climate_mitigation,6
MLT,2019,applications,climate_mitigation,2
MLT,2020,applications,climate_mitigation,4.5
MLT,2021,applications,climate_mitigation,4
MLT,2022,applications,climate_mitigation,0
MLT,2023,applications,climate_mitigation,0
NLD,2010,applications,climate_mitigation,376.6167
NLD,2011,applications,climate_mitigation,347.91669
NLD,2012,applications,climate_mitigation,391.5
NLD,2013,applications,climate_mitigation,413.83331
NLD,2014,applications,climate_mitigation,367.5
NLD,2015,applications,climate_mitigation,397.66669
NLD,2016,applications,climate_mitigation,415.83331
NLD,2017,applications,climate_mitigation,416.33331
NLD,2018,applications,climate_mitigation,385
NLD,2019,applications,climate_mitigation,424.83331
NLD,2020,applications,climate_mitigation,421.23331
NLD,2021,applications,climate_mitigation,446.75
NLD,2022,applications,climate_mitigation,262.83331
NLD,2023,applications,climate_mitigation,173.3333
POL,2010,applications,climate_mitigation,18
POL,2011,applications,climate_mitigation,26.3333
POL,2012,applications,climate_mitigation,51
POL,2013,applications,climate_mitigation,32.5
POL,2014,applications,climate_mitigation,44.5
POL,2015,applications,climate_mitigation,57.5
POL,2016,applications,climate_mitigation,34
POL,2017,applications,climate_mitigation,32.166698
POL,2018,applications,climate_mitigation,47
POL,2019,applications,climate_mitigation,25.5
POL,2020,applications,climate_mitigation,37
POL,2021,applications,climate_mitigation,49
POL,2022,applications,climate_mitigation,37.333302
POL,2023,applications,climate_mitigation,23
PRT,2010,applications,climate_mitigation,6.5332999
PRT,2011,applications,climate_mitigation,14
PRT,2012,applications,climate_mitigation,9
PRT,2013,applications,climate_mitigation,10
PRT,2014,applications,climate_mitigation,7.5
PRT,2015,applications,climate_mitigation,18
PRT,2016,applications,climate_mitigation,17.0667
PRT,2017,applications,climate_mitigation,16.9167
PRT,2018,applications,climate_mitigation,11.5
PRT,2019,applications,climate_mitigation,21.5
PRT,2020,applications,climate_mitigation,29.75
PRT,2021,applications,climate_mitigation,23
PRT,2022,applications,climate_mitigation,14
PRT,2023,applications,climate_mitigation,10
ROU,2010,applications,climate_mitigation,3
ROU,2011,applications,climate_mitigation,3.5
ROU,2012,applications,climate_mitigation,8
ROU,2013,applications,climate_mitigation,5
ROU,2014,applications,climate_mitigation,2
ROU,2015,applications,climate_mitigation,5
ROU,2016,applications,climate_mitigation,1.5
ROU,2017,applications,climate_mitigation,3.5
ROU,2018,applications,climate_mitigation,1
ROU,2019,applications,climate_mitigation,4
ROU,2020,applications,climate_mitigation,6.5
ROU,2021,applications,climate_mitigation,1
ROU,2022,applications,climate_mitigation,3
ROU,2023,applications,climate_mitigation,3
SVK,2010,applications,climate_mitigation,2
SVK,2011,applications,climate_mitigation,2.6666999
SVK,2012,applications,climate_mitigation,5
SVK,2013,applications,climate_mitigation,5
SVK,2014,applications,climate_mitigation,4
SVK,2015,applications,climate_mitigation,3
SVK,2016,applications,climate_mitigation,8
SVK,2017,applications,climate_mitigation,8
SVK,2018,applications,climate_mitigation,4
SVK,2019,applications,climate_mitigation,3
SVK,2020,applications,climate_mitigation,7.5
SVK,2021,applications,climate_mitigation,3.5
SVK,2022,applications,climate_mitigation,6
SVK,2023,applications,climate_mitigation,2
SVN,2010,applications,climate_mitigation,5
SVN,2011,applications,climate_mitigation,4
SVN,2012,applications,climate_mitigation,6
SVN,2013,applications,climate_mitigation,5
SVN,2014,applications,climate_mitigation,8
SVN,2015,applications,climate_mitigation,7
SVN,2016,applications,climate_mitigation,8.25
SVN,2017,applications,climate_mitigation,7
SVN,2018,applications,climate_mitigation,11.5
SVN,2019,applications,climate_mitigation,14
SVN,2020,applications,climate_mitigation,11
SVN,2021,applications,climate_mitigation,4.5
SVN,2022,applications,climate_mitigation,4.8333001
SVN,2023,applications,climate_mitigation,3.5
SWE,2010,applications,climate_mitigation,245.8333
SWE,2011,applications,climate_mitigation,349.91669
SWE,2012,applications,climate_mitigation,324
SWE,2013,applications,climate_mitigation,426
SWE,2014,applications,climate_mitigation,367
SWE,2015,applications,climate_mitigation,348.83331
SWE,2016,applications,climate_mitigation,336.5
SWE,2017,applications,climate_mitigation,396
SWE,2018,applications,climate_mitigation,370
SWE,2019,applications,climate_mitigation,412.75
SWE,2020,applications,climate_mitigation,431.5
SWE,2021,applications,climate_mitigation,436.33331
SWE,2022,applications,climate_mitigation,335.5
SWE,2023,applications,climate_mitigation,206.5
AUT,2010,grants,climate_mitigation,92.833298
AUT,2011,grants,climate_mitigation,121.4167
AUT,2012,grants,climate_mitigation,140
AUT,2013,grants,climate_mitigation,144
AUT,2014,grants,climate_mitigation,131
AUT,2015,grants,climate_mitigation,164.1667
AUT,2016,grants,climate_mitigation,133.75
AUT,2017,grants,climate_mitigation,131.0833
AUT,2018,grants,climate_mitigation,110.3333
AUT,2019,grants,climate_mitigation,136
AUT,2020,grants,climate_mitigation,136.7
AUT,2021,grants,climate_mitigation,80.666702
AUT,2022,grants,climate_mitigation,36
BEL,2010,grants,climate_mitigation,88.833298
BEL,2011,grants,climate_mitigation,87.083298
BEL,2012,grants,climate_mitigation,106
BEL,2013,grants,climate_mitigation,97.166702
BEL,2014,grants,climate_mitigation,104.3333
BEL,2015,grants,climate_mitigation,102.9167
BEL,2016,grants,climate_mitigation,103.75
BEL,2017,grants,climate_mitigation,92.75
BEL,2018,grants,climate_mitigation,108.3333
BEL,2019,grants,climate_mitigation,89.75
BEL,2020,grants,climate_mitigation,78.483299
BEL,2021,grants,climate_mitigation,59.666698
BEL,2022,grants,climate_mitigation,39
BGR,2010,grants,climate_mitigation,1
BGR,2011,grants,climate_mitigation,1
BGR,2012,grants,climate_mitigation,2
BGR,2013,grants,climate_mitigation,1
BGR,2014,grants,climate_mitigation,5
BGR,2015,grants,climate_mitigation,3
BGR,2016,grants,climate_mitigation,5
BGR,2017,grants,climate_mitigation,2
BGR,2018,grants,climate_mitigation,0
BGR,2019,grants,climate_mitigation,1.5
BGR,2020,grants,climate_mitigation,3
BGR,2021,grants,climate_mitigation,1
BGR,2022,grants,climate_mitigation,0
CYP,2010,grants,climate_mitigation,2
CYP,2011,grants,climate_mitigation,1
CYP,2012,grants,climate_mitigation,0
CYP,2013,grants,climate_mitigation,0
CYP,2014,grants,climate_mitigation,1
CYP,2015,grants,climate_mitigation,0
CYP,2016,grants,climate_mitigation,2
CYP,2017,grants,climate_mitigation,0
CYP,2018,grants,climate_mitigation,1
CYP,2019,grants,climate_mitigation,1
CYP,2020,grants,climate_mitigation,2
CYP,2021,grants,climate_mitigation,2
CYP,2022,grants,climate_mitigation,2
CZE,2010,grants,climate_mitigation,7
CZE,2011,grants,climate_mitigation,7
CZE,2012,grants,climate_mitigation,6
CZE,2013,grants,climate_mitigation,6.5
CZE,2014,grants,climate_mitigation,5.5
CZE,2015,grants,climate_mitigation,12
CZE,2016,grants,climate_mitigation,7.5
CZE,2017,grants,climate_mitigation,9.5
CZE,2018,grants,climate_mitigation,9.5
CZE,2019,grants,climate_mitigation,8
CZE,2020,grants,climate_mitigation,8
CZE,2021,grants,climate_mitigation,11.8333
CZE,2022,grants,climate_mitigation,1
DEU,2010,grants,climate_mitigation,1612.6667
DEU,2011,grants,climate_mitigation,1871.1667
DEU,2012,grants,climate_mitigation,1984.3611
DEU,2013,grants,climate_mitigation,1760.6548
DEU,2014,grants,climate_mitigation,1717.5333
DEU,2015,grants,climate_mitigation,1594.5833
DEU,2016,grants,climate_mitigation,1526.85
DEU,2017,grants,climate_mitigation,1641.1667
DEU,2018,grants,climate_mitigation,1580.0594
DEU,2019,grants,climate_mitigation,1413.0262
DEU,2020,grants,climate_mitigation,1181.0333
DEU,2021,grants,climate_mitigation,889.15002
DEU,2022,grants,climate_mitigation,338.83331
DNK,2010,grants,climate_mitigation,208.5
DNK,2011,grants,climate_mitigation,244.5
DNK,2012,grants,climate_mitigation,235
DNK,2013,grants,climate_mitigation,182.5
DNK,2014,grants,climate_mitigation,220.5
DNK,2015,grants,climate_mitigation,215.3333
DNK,2016,grants,climate_mitigation,226
DNK,2017,grants,climate_mitigation,299
DNK,2018,grants,climate_mitigation,273
DNK,2019,grants,climate_mitigation,299.16669
DNK,2020,grants,climate_mitigation,232
DNK,2021,grants,climate_mitigation,192.6667
DNK,2022,grants,climate_mitigation,84
ESP,2010,grants,climate_mitigation,79.333298
ESP,2011,grants,climate_mitigation,74.333298
ESP,2012,grants,climate_mitigation,89.833298
ESP,2013,grants,climate_mitigation,120.8333
ESP,2014,grants,climate_mitigation,101
ESP,2015,grants,climate_mitigation,102
ESP,2016,grants,climate_mitigation,99.5
ESP,2017,grants,climate_mitigation,100.1667
ESP,2018,grants,climate_mitigation,160.5
ESP,2019,grants,climate_mitigation,145.6667
ESP,2020,grants,climate_mitigation,109.8333
ESP,2021,grants,climate_mitigation,118.75
ESP,2022,grants,climate_mitigation,52.333302
EST,2010,grants,climate_mitigation,1
EST,2011,grants,climate_mitigation,6
EST,2012,grants,climate_mitigation,1
EST,2013,grants,climate_mitigation,2
EST,2014,grants,climate_mitigation,4
EST,2015,grants,climate_mitigation,1
EST,2016,grants,climate_mitigation,4
EST,2017,grants,climate_mitigation,4
EST,2018,grants,climate_mitigation,1
EST,2019,grants,climate_mitigation,1
EST,2020,grants,climate_mitigation,2
EST,2021,grants,climate_mitigation,2
EST,2022,grants,climate_mitigation,1
FIN,2010,grants,climate_mitigation,113.8667
FIN,2011,grants,climate_mitigation,129.3333
FIN,2012,grants,climate_mitigation,118
FIN,2013,grants,climate_mitigation,141.5
FIN,2014,grants,climate_mitigation,156
FIN,2015,grants,climate_mitigation,135.5
FIN,2016,grants,climate_mitigation,112
FIN,2017,grants,climate_mitigation,112.5
FIN,2018,grants,climate_mitigation,102.5
FIN,2019,grants,climate_mitigation,93
FIN,2020,grants,climate_mitigation,69.75
FIN,2021,grants,climate_mitigation,38
FIN,2022,grants,climate_mitigation,21
FRA,2010,grants,climate_mitigation,633.51672
FRA,2011,grants,climate_mitigation,645.16669
FRA,2012,grants,climate_mitigation,832
FRA,2013,grants,climate_mitigation,802.69049
FRA,2014,grants,climate_mitigation,851.66669
FRA,2015,grants,climate_mitigation,817.41669
FRA,2016,grants,climate_mitigation,754.16669
FRA,2017,grants,climate_mitigation,644.5
FRA,2018,grants,climate_mitigation,749.44049
FRA,2019,grants,climate_mitigation,746.22382
FRA,2020,grants,climate_mitigation,740
FRA,2021,grants,climate_mitigation,575.01672
FRA,2022,grants,climate_mitigation,254.8333
GRC,2010,grants,climate_mitigation,3
GRC,2011,grants,climate_mitigation,2
GRC,2012,grants,climate_mitigation,4
GRC,2013,grants,climate_mitigation,4
GRC,2014,grants,climate_mitigation,7
GRC,2015,grants,climate_mitigation,1
GRC,2016,grants,climate_mitigation,5
GRC,2017,grants,climate_mitigation,1
GRC,2018,grants,climate_mitigation,2
GRC,2019,grants,climate_mitigation,5
GRC,2020,grants,climate_mitigation,1.75
GRC,2021,grants,climate_mitigation,0
GRC,2022,grants,climate_mitigation,0
HRV,2010,grants,climate_mitigation,1
HRV,2011,grants,climate_mitigation,2
HRV,2012,grants,climate_mitigation,0
HRV,2013,grants,climate_mitigation,2
HRV,2014,grants,climate_mitigation,0
HRV,2015,grants,climate_mitigation,0.16670001
HRV,2016,grants,climate_mitigation,2
HRV,2017,grants,climate_mitigation,0
HRV,2018,grants,climate_mitigation,2
HRV,2019,grants,climate_mitigation,1
HRV,2020,grants,climate_mitigation,1
HRV,2021,grants,climate_mitigation,0
HRV,2022,grants,climate_mitigation,0
HUN,2010,grants,climate_mitigation,7
HUN,2011,grants,climate_mitigation,6.5
HUN,2012,grants,climate_mitigation,10
HUN,2013,grants,climate_mitigation,10.5
HUN,2014,grants,climate_mitigation,8.6667004
HUN,2015,grants,climate_mitigation,5
HUN,2016,grants,climate_mitigation,7.5
HUN,2017,grants,climate_mitigation,4.5
HUN,2018,grants,climate_mitigation,10
HUN,2019,grants,climate_mitigation,3
HUN,2020,grants,climate_mitigation,5
HUN,2021,grants,climate_mitigation,2.6666999
HUN,2022,grants,climate_mitigation,0
IRL,2010,grants,climate_mitigation,24
IRL,2011,grants,climate_mitigation,35.833302
IRL,2012,grants,climate_mitigation,21
IRL,2013,grants,climate_mitigation,27
IRL,2014,grants,climate_mitigation,34.333302
IRL,2015,grants,climate_mitigation,19.3333
IRL,2016,grants,climate_mitigation,48
IRL,2017,grants,climate_mitigation,27.3333
IRL,2018,grants,climate_mitigation,21
IRL,2019,grants,climate_mitigation,26.5
IRL,2020,grants,climate_mitigation,16
IRL,2021,grants,climate_mitigation,13
IRL,2022,grants,climate_mitigation,1
ITA,2010,grants,climate_mitigation,214.5
ITA,2011,grants,climate_mitigation,197.3333
ITA,2012,grants,climate_mitigation,231.8333
ITA,2013,grants,climate_mitigation,235.8333
ITA,2014,grants,climate_mitigation,238
ITA,2015,grants,climate_mitigation,221.25
ITA,2016,grants,climate_mitigation,275.58331
ITA,2017,grants,climate_mitigation,232.6667
ITA,2018,grants,climate_mitigation,242.6667
ITA,2019,grants,climate_mitigation,234.1667
ITA,2020,grants,climate_mitigation,191
ITA,2021,grants,climate_mitigation,180.3333
ITA,2022,grants,climate_mitigation,109
LTU,2010,grants,climate_mitigation,1
LTU,2011,grants,climate_mitigation,0
LTU,2012,grants,climate_mitigation,2
LTU,2013,grants,climate_mitigation,0
LTU,2014,grants,climate_mitigation,3
LTU,2015,grants,climate_mitigation,0
LTU,2016,grants,climate_mitigation,1
LTU,2017,grants,climate_mitigation,1
LTU,2018,grants,climate_mitigation,0
LTU,2019,grants,climate_mitigation,1
LTU,2020,grants,climate_mitigation,3
LTU,2021,grants,climate_mitigation,0
LTU,2022,grants,climate_mitigation,0
LUX,2010,grants,climate_mitigation,25.6667
LUX,2011,grants,climate_mitigation,22.8333
LUX,2012,grants,climate_mitigation,36.5
LUX,2013,grants,climate_mitigation,12.5
LUX,2014,grants,climate_mitigation,17.5
LUX,2015,grants,climate_mitigation,19.8333
LUX,2016,grants,climate_mitigation,27
LUX,2017,grants,climate_mitigation,22.5
LUX,2018,grants,climate_mitigation,13
LUX,2019,grants,climate_mitigation,26.8333
LUX,2020,grants,climate_mitigation,15
LUX,2021,grants,climate_mitigation,9.5
LUX,2022,grants,climate_mitigation,4
LVA,2010,grants,climate_mitigation,2
LVA,2011,grants,climate_mitigation,0
LVA,2012,grants,climate_mitigation,0.5
LVA,2013,grants,climate_mitigation,5
LVA,2014,grants,climate_mitigation,1
LVA,2015,grants,climate_mitigation,2
LVA,2016,grants,climate_mitigation,1
LVA,2017,grants,climate_mitigation,0
LVA,2018,grants,climate_mitigation,0.5
LVA,2019,grants,climate_mitigation,2
LVA,2020,grants,climate_mitigation,5
LVA,2021,grants,climate_mitigation,1
LVA,2022,grants,climate_mitigation,3
MLT,2010,grants,climate_mitigation,1
MLT,2011,grants,climate_mitigation,2
MLT,2012,grants,climate_mitigation,0
MLT,2013,grants,climate_mitigation,0
MLT,2014,grants,climate_mitigation,1
MLT,2015,grants,climate_mitigation,3
MLT,2016,grants,climate_mitigation,5
MLT,2017,grants,climate_mitigation,7
MLT,2018,grants,climate_mitigation,2
MLT,2019,grants,climate_mitigation,1
MLT,2020,grants,climate_mitigation,0.5
MLT,2021,grants,climate_mitigation,2
MLT,2022,grants,climate_mitigation,0
NLD,2010,grants,climate_mitigation,199.5
NLD,2011,grants,climate_mitigation,197.6667
NLD,2012,grants,climate_mitigation,231
NLD,2013,grants,climate_mitigation,256.83331
NLD,2014,grants,climate_mitigation,227.3333
NLD,2015,grants,climate_mitigation,246.3333
NLD,2016,grants,climate_mitigation,243.1667
NLD,2017,grants,climate_mitigation,260.5
NLD,2018,grants,climate_mitigation,220
NLD,2019,grants,climate_mitigation,229.5
NLD,2020,grants,climate_mitigation,165.7
NLD,2021,grants,climate_mitigation,147.3333
NLD,2022,grants,climate_mitigation,37.5
POL,2010,grants,climate_mitigation,8.5
POL,2011,grants,climate_mitigation,7
POL,2012,grants,climate_mitigation,22
POL,2013,grants,climate_mitigation,18
POL,2014,grants,climate_mitigation,18
POL,2015,grants,climate_mitigation,24.5
